ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
SOUTHWIND HIGH SCHOOL,Tennessee,www.scsk12,TN ,1-Regular school,2-No,2-No,21-Suburb: Large,1520,9th Grade,12th Grade,1520,1,12,174,1303,12,="0",18,21.17,71.80
SOUTHWOOD HIGH SCHOOL,Louisiana,†,LA ,1-Regular school,2-No,2-No,12-City: Mid-size,1485,9th Grade,12th Grade,1485,5,4,31,1057,371,="0",17,14.97,99.21
SOWERS ALTERNATIVE HIGH SCHOOL,Kansas,http://www.usd259.com,KS ,1-Regular school,2-No,2-No,11-City: Large,53,9th Grade,12th Grade,53,1,="0",11,6,32,="0",3,3.42,15.50
SPACKENKILL HIGH SCHOOL,New York,www.sufsdny.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,539,9th Grade,12th Grade,539,2,75,53,52,349,–,8,12.52,43.04
SPAIN PARK HIGH SCH,Alabama,www.hoover.k12.al.us/sphs,AL ,1-Regular school,2-No,2-No,13-City: Small,1661,9th Grade,12th Grade,1661,="0",91,74,419,1057,3,17,14.34,115.85
SPALDING HIGH SCHOOL,Georgia,http://www.spalding.k12.ga.us,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1262,9th Grade,12th Grade,1262,2,11,58,417,741,="0",33,16.04,78.70
SPANAWAY LAKE HIGH SCHOOL,Washington,http://slhs.bethelsd.org,WA ,1-Regular school,2-No,–,21-Suburb: Large,1715,9th Grade,12th Grade,1715,33,153,322,273,723,91,120,24.86,69.00
SPANISH FORT HIGH SCH,Alabama,www.spanishforttoros.org,AL ,1-Regular school,2-No,2-No,41-Rural: Fringe,1109,9th Grade,12th Grade,1109,7,17,37,106,926,5,11,18.83,58.89
SPANISH RIVER COMMUNITY HIGH SCHOOL,Florida,www.palmbeach.k12.fl.us/SpanishRiverHS,FL ,1-Regular school,2-No,1-Yes,13-City: Small,2345,9th Grade,12th Grade,2345,19,77,552,155,1487,1,54,19.54,120.00
SPANISH SPRINGS HIGH SCHOOL,Nevada,†,NV ,1-Regular school,2-No,2-No,41-Rural: Fringe,2319,9th Grade,12th Grade,2319,40,54,742,33,1330,15,105,22.85,101.50
SPARK,CONNECTICUT,†,CT ,4-Alternative/other school,2-No,2-No,†,12,9th Grade,12th Grade,12,="0",="0",3,8,1,="0",="0",8.57,1.40
SPARKS HIGH SCHOOL,Nevada,†,NV ,1-Regular school,2-No,2-No,21-Suburb: Large,1198,9th Grade,12th Grade,1198,10,47,823,34,228,17,39,18.57,64.50
SPARROWS POINT HIGH,Maryland,http://sparrowspoinths.bcps.org,MD ,1-Regular school,2-No,1-Yes,21-Suburb: Large,892,9th Grade,12th Grade,892,7,9,34,56,761,="0",25,16.43,54.30
SPARTA ALTERNATIVE INDEPENDENT LEARNING SCHOOL,Wisconsin,spartan.org/schools/sails,WI ,4-Alternative/other school,1-Yes,2-No,32-Town: Distant,30,9th Grade,12th Grade,30,="0",="0",3,2,24,="0",1,11.90,2.52
SPARTA HIGH,Wisconsin,secondary.spartan.org,WI ,1-Regular school,2-No,2-No,32-Town: Distant,746,9th Grade,12th Grade,746,4,9,62,12,645,4,10,15.43,48.34
SPARTA HIGH,Missouri,www.sparta.k12.mo.us,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,205,9th Grade,12th Grade,205,="0",="0",3,1,200,="0",1,12.13,16.90
SPARTA HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,41-Rural: Fringe,1122,9th Grade,12th Grade,1122,="0",49,50,19,1003,1,="0",11.59,96.80
SPARTA HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,32-Town: Distant,360,9th Grade,12th Grade,360,="0",4,1,69,255,="0",31,13.61,26.45
SPAULDING HIGH SCHOOL,New Hampshire,www.rochesterschools.com/shs,NH ,1-Regular school,2-No,2-No,23-Suburb: Small,1408,9th Grade,12th Grade,1408,4,18,36,20,1308,="0",22,13.36,105.40
SPAULDING UHSD #41,Vermont,http://www.shsbtc.org/,VT ,1-Regular school,†,2-No,32-Town: Distant,661,9th Grade,12th Grade,661,2,6,19,10,613,="0",11,8.05,82.07
SPEARFISH HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,32-Town: Distant,592,9th Grade,12th Grade,592,15,10,32,6,519,="0",10,15.99,37.03
SPEARMAN H S,Texas,www.spearmanisd.net,TX ,1-Regular school,2-No,2-No,33-Town: Remote,255,9th Grade,12th Grade,255,="0",2,164,="0",85,="0",4,9.64,26.45
SPECIAL ED YANKEE HILL PROGRAM,Nebraska,†,NE ,2-Special education school,†,†,11-City: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",8.50
SPEEDWAY SENIOR HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,21-Suburb: Large,486,9th Grade,12th Grade,486,="0",25,57,105,272,="0",27,15.35,31.66
SPENCER COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,42-Rural: Distant,890,9th Grade,12th Grade,890,2,6,28,12,809,2,31,20.00,44.50
SPENCER HIGH SCHOOL,Iowa,www.spenceriowaschools.com,IA ,1-Regular school,2-No,†,33-Town: Remote,605,9th Grade,12th Grade,605,1,7,43,6,541,="0",7,15.50,39.04
SPENCER HIGH SCHOOL,Georgia,http://spencer.mcsdga.net,GA ,1-Regular school,2-No,1-Yes,12-City: Mid-size,838,9th Grade,12th Grade,838,="0",3,95,640,52,4,44,17.21,48.70
SPENCER-VAN ETTEN HIGH SCHOOL,New York,www.svecsd.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,259,9th Grade,12th Grade,259,1,2,8,5,243,–,="0",11.31,22.91
SPENCERPORT HIGH SCHOOL,New York,www.spencerportschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1209,9th Grade,12th Grade,1209,4,34,59,60,1007,–,45,12.10,99.95
SPENCERVILLE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,42-Rural: Distant,281,9th Grade,12th Grade,281,="0",="0",4,="0",269,="0",8,14.99,18.75
SPERRY HS,Oklahoma,www.sperry.k12.ok.us,OK ,1-Regular school,2-No,†,41-Rural: Fringe,350,9th Grade,12th Grade,350,113,4,22,4,198,="0",9,15.58,22.46
SPIRIT LAKE HIGH SCHOOL,Iowa,www.spirit-lake.k12.ia.us/html/HS/high.htm,IA ,1-Regular school,2-No,†,33-Town: Remote,456,9th Grade,12th Grade,456,1,1,11,6,431,="0",6,16.73,27.25
SPIRO HS,Oklahoma,www.spiro.k12.ok.us,OK ,1-Regular school,2-No,†,42-Rural: Distant,302,9th Grade,12th Grade,302,93,3,14,27,164,1,="0",12.25,24.66
SPLENDORA H S,Texas,www.splendoraisd.org,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,1106,9th Grade,12th Grade,1106,2,1,349,9,733,="0",12,15.00,73.75
SPOKANE AREA PROFESSIONAL-TECHNICAL SKILLS CENTER,Washington,†,WA ,3-Vocational school,2-No,–,12-City: Mid-size,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",20.00
SPOKANE COUNTY JAIL,Washington,†,WA ,1-Regular school,2-No,–,12-City: Mid-size,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",–,–
SPOKANE HIGH,Missouri,www.spokane.k12.mo.us,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,228,9th Grade,12th Grade,228,2,1,4,1,219,="0",1,13.39,17.03
SPOKANE VALLEY HIGH SCHOOL,Washington,†,WA ,4-Alternative/other school,2-No,–,13-City: Small,106,9th Grade,12th Grade,106,="0",="0",6,="0",92,="0",8,13.77,7.70
SPOKANE VALLEY TECH,Washington,†,WA ,3-Vocational school,2-No,–,13-City: Small,5,9th Grade,12th Grade,5,="0",="0",="0",="0",5,="0",="0",="0.69",7.20
SPOKANE VALLEY TRANSITION SCHOOL,Washington,†,WA ,4-Alternative/other school,2-No,–,13-City: Small,168,9th Grade,12th Grade,168,2,="0",9,4,139,1,13,42.00,4.00
SPOON RIVER ACADEMY,ILLINOIS,†,IL ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,30,9th Grade,12th Grade,30,="0",="0",="0",="0",28,1,1,14.49,2.07
SPOON RIVER VALLEY SR HIGH SCH,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,121,9th Grade,12th Grade,121,="0",="0",="0",="0",119,="0",2,8.62,14.04
SPOONER HIGH,Wisconsin,www.spooner.k12.wi.us,WI ,1-Regular school,2-No,2-No,41-Rural: Fringe,342,9th Grade,12th Grade,342,7,3,2,2,322,="0",6,13.95,24.52
SPORTS LEADERSHIP OF MIAMI CHARTER HIGH SCHOOL,Florida,http://www.dadeschools.net,FL ,1-Regular school,1-Yes,2-No,11-City: Large,452,9th Grade,12th Grade,452,="0",4,402,27,19,="0",="0",23.79,19.00
SPOTO HIGH SCHOOL,Florida,www.sdhc.k12.fl.us,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,1623,9th Grade,12th Grade,1623,4,35,580,639,304,2,59,17.84,91.00
SPOTSWOOD HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,41-Rural: Fringe,877,9th Grade,12th Grade,877,2,19,180,26,616,="0",34,16.94,51.76
SPOTSWOOD HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,760,9th Grade,12th Grade,760,="0",30,93,23,604,="0",10,12.26,62.00
SPOTSYLVANIA HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1176,9th Grade,12th Grade,1176,5,10,50,141,904,1,65,14.97,78.57
SPRAGUE HIGH SCHOOL,Washington,www.sprague.wednet.edu,WA ,1-Regular school,2-No,–,43-Rural: Remote,28,9th Grade,12th Grade,28,1,="0",2,="0",25,="0",="0",5.67,4.94
SPRAGUE HIGH SCHOOL,Oregon,spraguehs.com,OR ,1-Regular school,2-No,†,12-City: Mid-size,1702,9th Grade,12th Grade,1702,28,49,210,19,1253,29,114,24.62,69.13
SPRAYBERRY HIGH SCHOOL,Georgia,http://www.cobbk12.org/sprayberry/,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,1759,9th Grade,12th Grade,1759,6,113,306,511,728,1,94,17.42,101.00
SPRING CREEK HIGH,Nevada,http://www.schs.ecsdnv.net/,NV ,1-Regular school,2-No,2-No,41-Rural: Fringe,864,9th Grade,12th Grade,864,16,8,82,4,746,5,3,19.20,45.00
SPRING CREEK HIGH,North Carolina,waynesch.ss8.sharpschool.com/,NC ,1-Regular school,2-No,2-No,42-Rural: Distant,680,9th Grade,12th Grade,680,2,4,296,116,234,1,27,18.13,37.50
SPRING GROVE AREA HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1057,9th Grade,12th Grade,1057,4,7,50,41,938,="0",17,14.12,74.85
SPRING H S,Texas,www.springisd.org/shs/,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,3239,9th Grade,12th Grade,3239,34,109,1310,1036,686,8,56,19.91,162.67
SPRING HILL H S,Texas,†,TX ,1-Regular school,2-No,2-No,13-City: Small,488,9th Grade,12th Grade,488,3,12,59,47,357,="0",10,12.02,40.59
SPRING HILL HIGH,South Carolina,†,SC ,1-Regular school,2-No,1-Yes,41-Rural: Fringe,1001,9th Grade,12th Grade,1001,4,22,27,124,795,3,26,12.59,79.50
SPRING HILL HIGH (CONTINUATION),California,†,CA ,4-Alternative/other school,2-No,2-No,43-Rural: Remote,16,9th Grade,12th Grade,16,2,="0",4,="0",9,="0",1,10.32,1.55
SPRING HILL HIGH SCHOOL,Kansas,http://www.usd230.org,KS ,1-Regular school,2-No,2-No,41-Rural: Fringe,698,9th Grade,12th Grade,698,3,7,50,13,603,1,21,14.57,47.90
SPRING HILL HIGH SCHOOL,Tennessee,†,TN ,1-Regular school,2-No,2-No,41-Rural: Fringe,1053,9th Grade,12th Grade,1053,1,18,81,158,793,2,="0",17.82,59.10
SPRING LAKE ALTERNATIVE EDUCATION,Michigan,springlakeschools.org,MI ,4-Alternative/other school,2-No,2-No,22-Suburb: Mid-size,31,9th Grade,12th Grade,31,="0",="0",3,="0",26,="0",2,17.71,1.75
SPRING LAKE COLONY HIGH SCHOOL - 05,South Dakota,oldhamramona.k12.sd.us,SD ,1-Regular school,2-No,†,43-Rural: Remote,3,9th Grade,12th Grade,3,="0",="0",="0",="0",3,="0",="0",20.00,="0.15"
SPRING LAKE PARK SENIOR HIGH,Minnesota,http://www.springlakeparkschools.org,MN ,1-Regular school,2-No,2-No,21-Suburb: Large,1574,9th Grade,12th Grade,1574,12,143,193,180,967,1,78,20.66,76.20
SPRING MILLS HIGH SCHOOL,West Virginia,http://wvde.state.wv.us,WV ,1-Regular school,†,†,22-Suburb: Mid-size,1252,9th Grade,12th Grade,1252,4,20,70,116,1008,="0",34,17.27,72.50
SPRING VALLEY HIGH,South Carolina,†,SC ,1-Regular school,2-No,1-Yes,21-Suburb: Large,2009,9th Grade,12th Grade,2009,3,117,182,1059,579,8,61,16.29,123.30
SPRING VALLEY HIGH,Wisconsin,www.springvalley.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,200,9th Grade,12th Grade,200,="0",="0",1,="0",198,="0",1,15.12,13.23
SPRING VALLEY HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,41-Rural: Fringe,1050,9th Grade,12th Grade,1050,="0",6,5,13,1024,="0",2,14.48,72.50
SPRING VALLEY HIGH SCHOOL,New York,www.eram.k12.ny.us,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1207,9th Grade,12th Grade,1207,="0",39,556,569,42,–,1,14.61,82.61
SPRING WOODS H S,Texas,swhs.springbranchisd.com,TX ,1-Regular school,2-No,2-No,11-City: Large,2216,9th Grade,12th Grade,2216,16,57,1787,132,215,1,8,17.26,128.39
SPRING-FORD SHS 9-12 CTR,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,2381,9th Grade,12th Grade,2381,3,117,91,120,1990,="0",60,14.50,164.18
SPRINGBORO HIGH SCHOOL,Ohio,http://www.springboro.org,OH ,1-Regular school,2-No,–,41-Rural: Fringe,1799,9th Grade,12th Grade,1799,1,58,16,31,1646,2,45,23.78,75.64
SPRINGBROOK HIGH,Maryland,http://www.montgomeryschoolsmd.org/schools/springb,MD ,1-Regular school,2-No,2-No,21-Suburb: Large,1790,9th Grade,12th Grade,1790,1,202,628,748,143,="0",68,16.71,107.09
SPRINGER HS,Oklahoma,springerschools.com,OK ,1-Regular school,2-No,†,42-Rural: Distant,50,9th Grade,12th Grade,50,5,="0",5,2,27,="0",11,6.42,7.79
SPRINGFIELD CENTRAL HIGH,Massachusetts,www.springfieldpublicschools.com,MA ,1-Regular school,2-No,2-No,12-City: Mid-size,1961,9th Grade,12th Grade,1961,="0",129,977,472,360,1,22,13.24,148.08
SPRINGFIELD HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,12-City: Mid-size,1448,9th Grade,12th Grade,1448,3,56,57,385,832,="0",115,17.55,82.53
SPRINGFIELD HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,13-City: Small,1706,9th Grade,12th Grade,1706,4,18,70,471,983,1,159,17.77,96.00
SPRINGFIELD HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,41-Rural: Fringe,315,9th Grade,12th Grade,315,="0",1,2,="0",309,="0",3,13.13,24.00
SPRINGFIELD HIGH SCHOOL,Vermont,http://www.ssdvt.org/main/high-school/,VT ,1-Regular school,†,2-No,33-Town: Remote,423,9th Grade,12th Grade,423,="0",3,7,9,397,="0",7,11.17,37.87
SPRINGFIELD HIGH SCHOOL,Massachusetts,http://sps.springfield.ma.us,MA ,1-Regular school,2-No,2-No,12-City: Mid-size,119,9th Grade,12th Grade,119,="0",="0",74,26,17,="0",2,10.68,11.14
SPRINGFIELD HIGH SCHOOL,Oregon,shs.springfield.k12.or.us/,OR ,1-Regular school,2-No,†,22-Suburb: Mid-size,1403,9th Grade,12th Grade,1403,21,23,420,15,798,14,112,25.53,54.96
SPRINGFIELD HIGH SCHOOL,Tennessee,†,TN ,1-Regular school,2-No,2-No,41-Rural: Fringe,1107,9th Grade,12th Grade,1107,1,3,202,262,623,="0",16,14.58,75.90
SPRINGFIELD HIGH SCHOOL OF SCIENCE AND TECHNOLOGY,Massachusetts,www.springfieldpublicschools.com,MA ,1-Regular school,2-No,2-No,12-City: Mid-size,1371,9th Grade,12th Grade,1371,1,29,960,221,150,1,9,14.06,97.50
SPRINGFIELD HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,1200,9th Grade,12th Grade,1200,1,81,24,77,990,="0",27,15.14,79.24
SPRINGFIELD LEARNING ACADEMY,Illinois,†,IL ,1-Regular school,2-No,2-No,12-City: Mid-size,120,9th Grade,12th Grade,120,="0",="0",1,60,47,="0",12,10.08,11.90
SPRINGFIELD PUBLIC DAY HIGH SCHOOL,Massachusetts,www.springfieldpublicschools.com,MA ,1-Regular school,2-No,2-No,12-City: Mid-size,106,9th Grade,12th Grade,106,="0",="0",70,24,12,="0",="0",5.52,19.22
SPRINGFIELD SOUTHEAST HIGH SCH,Illinois,†,IL ,1-Regular school,2-No,2-No,12-City: Mid-size,1258,9th Grade,12th Grade,1258,1,13,28,627,482,1,106,15.02,83.78
SPRINGFIELD TWP HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,646,9th Grade,12th Grade,646,2,22,32,120,449,="0",21,12.54,51.53
SPRINGTOWN H S,Texas,†,TX ,1-Regular school,2-No,2-No,31-Town: Fringe,938,9th Grade,12th Grade,938,4,2,166,12,723,1,30,13.12,71.47
SPRINGVILLE HIGH SCH,Alabama,www.shstigers.com,AL ,1-Regular school,2-No,2-No,31-Town: Fringe,705,9th Grade,12th Grade,705,4,5,16,38,638,="0",4,18.90,37.30
SPRINGWATER TRAIL HIGH SCHOOL,Oregon,stweb.gresham.k12.or.us/,OR ,1-Regular school,2-No,†,21-Suburb: Large,178,9th Grade,12th Grade,178,="0",1,29,4,124,1,19,18.84,9.45
SPRUCE CREEK HIGH SCHOOL,Florida,http://www.sprucecreekhigh.com/,FL ,1-Regular school,2-No,1-Yes,21-Suburb: Large,2691,9th Grade,12th Grade,2691,12,143,157,269,2037,1,72,19.09,141.00
SPRUCE MOUNTAIN HIGH SCHOOL,Maine,†,ME ,1-Regular school,2-No,2-No,41-Rural: Fringe,418,9th Grade,12th Grade,418,="0",1,10,3,403,="0",1,12.26,34.10
SPRY COMMUNITY LINKS HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,11-City: Large,175,9th Grade,12th Grade,175,1,="0",172,1,1,="0",="0",13.79,12.69
SQUALICUM HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,13-City: Small,1392,9th Grade,12th Grade,1392,22,133,275,17,841,10,94,23.47,59.31
ST ANNE COMM HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,41-Rural: Fringe,231,9th Grade,12th Grade,231,="0",="0",40,85,90,="0",16,11.76,19.65
ST ANSGAR HIGH SCHOOL,Iowa,www.st-ansgar.k12.ia.us,IA ,1-Regular school,2-No,†,42-Rural: Distant,205,9th Grade,12th Grade,205,1,1,4,1,197,="0",1,13.85,14.80
ST CHARLES EAST HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,2491,9th Grade,12th Grade,2491,2,131,290,52,1954,="0",62,14.75,168.91
ST CHARLES NORTH HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,2027,9th Grade,12th Grade,2027,5,119,111,26,1738,1,27,14.82,136.73
ST CLAIRSVILLE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,23-Suburb: Small,533,9th Grade,12th Grade,533,="0",5,4,5,493,="0",26,23.92,22.28
ST CLOUD EXTENDED DAY PROGRAM,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ST DAVID HIGH SCHOOL,Arizona,www.stdavidschools.org,AZ ,1-Regular school,2-No,–,42-Rural: Distant,123,9th Grade,12th Grade,123,2,2,10,1,108,="0",="0",12.30,10.00
ST ELMO SR HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,43-Rural: Remote,126,9th Grade,12th Grade,126,="0",="0",2,="0",123,="0",1,11.45,11.00
ST HELENS HIGH SCHOOL,Oregon,www.sthelens.k12.or.us/Domain/88,OR ,1-Regular school,2-No,†,31-Town: Fringe,953,9th Grade,12th Grade,953,12,15,87,7,776,3,53,21.82,43.68
ST HENRY HIGH SCHOOL,Ohio,http://www.noacsc.org/mercer/sh,OH ,1-Regular school,2-No,–,42-Rural: Distant,310,9th Grade,12th Grade,310,="0",3,6,="0",298,2,1,17.47,17.74
ST IGNATIUS HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,42-Rural: Distant,139,9th Grade,12th Grade,139,68,="0",3,2,62,="0",4,11.37,12.22
ST JOHN/ENDICOTT HIGH,Washington,†,WA ,1-Regular school,2-No,–,43-Rural: Remote,82,9th Grade,12th Grade,82,="0",4,1,="0",75,1,1,11.53,7.11
ST JOHNS HIGH SCHOOL,Arizona,www.sjusd.k12.az.us,AZ ,1-Regular school,2-No,–,33-Town: Remote,264,9th Grade,12th Grade,264,21,1,62,1,175,="0",4,15.74,16.77
ST JOSEPH-OGDEN HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,31-Town: Fringe,470,9th Grade,12th Grade,470,1,2,6,6,441,="0",14,14.60,32.20
ST LAKE/IA CNTRL/BUENA VISTA EARLY COLLEGE HS,Iowa,www.slcsd.org,IA ,1-Regular school,1-Yes,†,33-Town: Remote,67,9th Grade,12th Grade,67,="0",11,35,4,15,1,1,5.54,12.10
ST MARIES COMMUNITY ED (ALT),Idaho,†,ID ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,24,9th Grade,12th Grade,24,="0",="0",2,="0",21,="0",1,21.43,1.12
ST MARIES HIGH SCHOOL,Idaho,†,ID ,1-Regular school,2-No,2-No,41-Rural: Fringe,254,9th Grade,12th Grade,254,1,="0",7,="0",241,="0",5,12.76,19.91
ST MARTIN HIGH SCHOOL,Mississippi,http://www.jcsd.k12.ms.us/smhs/smhsmain.htm,MS ,1-Regular school,2-No,2-No,41-Rural: Fringe,1267,9th Grade,12th Grade,1267,1,110,52,271,831,1,1,16.83,75.28
ST MARYS AREA SHS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,41-Rural: Fringe,698,9th Grade,12th Grade,698,1,1,6,2,675,="0",13,16.76,41.64
ST MARYS MEMORIAL HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,32-Town: Distant,773,9th Grade,12th Grade,773,="0",1,10,4,736,2,20,19.45,39.74
ST PAUL CONSERVATORY PERFORMING ART,Minnesota,www.spcpa.org,MN ,1-Regular school,1-Yes,2-No,11-City: Large,615,9th Grade,12th Grade,615,3,16,70,71,375,2,78,16.00,38.44
ST PAUL HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,42-Rural: Distant,186,9th Grade,12th Grade,186,="0",="0",3,="0",182,="0",1,11.16,16.67
ST REGIS HIGH SCHOOL,Montana,stregisschool.org,MT ,1-Regular school,†,2-No,43-Rural: Remote,45,9th Grade,12th Grade,45,="0",="0",3,="0",39,="0",3,6.52,6.90
ST. ANTHONY VILLAGE ALTERNATIVE,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ST. ANTHONY VILLAGE SENIOR HIGH,Minnesota,†,MN ,1-Regular school,2-No,2-No,21-Suburb: Large,690,9th Grade,12th Grade,690,5,57,60,36,510,1,21,20.28,34.02
ST. AUGUSTINE HIGH SCHOOL,Florida,http://www-sahs.stjohns.k12.fl.us,FL ,1-Regular school,2-No,2-No,23-Suburb: Small,1686,9th Grade,12th Grade,1686,3,25,128,246,1242,1,41,19.38,87.00
ST. CHARLES HIGH,Missouri,http://www.stcharles.k12.mo.us/schools/schigh.htm,MO ,1-Regular school,2-No,2-No,13-City: Small,821,9th Grade,12th Grade,821,1,8,24,105,675,1,7,12.66,64.87
ST. CHARLES HIGH SCHOOL,MARYLAND,†,MD ,1-Regular school,2-No,2-No,41-Rural: Fringe,1264,9th Grade,12th Grade,1264,11,26,64,861,225,3,74,14.87,85.00
ST. CHARLES WEST HIGH,Missouri,http://www.stcharles.k12.mo.us/schools/west.htm,MO ,1-Regular school,2-No,2-No,13-City: Small,710,9th Grade,12th Grade,710,="0",17,10,100,571,2,10,12.98,54.70
ST. CLAIR HIGH,Missouri,STCMO.ORG,MO ,1-Regular school,2-No,2-No,32-Town: Distant,750,9th Grade,12th Grade,750,4,2,8,5,718,2,11,15.35,48.86
ST. CLOUD HIGH SCHOOL,Florida,www.osceola.k12.fl.us,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,2412,9th Grade,12th Grade,2412,6,39,1183,154,953,5,72,19.93,121.00
ST. CROIX PREPARATORY ACADEMY UPPER,Minnesota,†,MN ,1-Regular school,1-Yes,2-No,21-Suburb: Large,350,9th Grade,12th Grade,350,1,7,15,4,312,1,10,13.51,25.90
ST. FRANCIS ALC IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,31-Town: Fringe,18,9th Grade,12th Grade,18,="0",="0",="0",="0",18,="0",="0",7.69,2.34
ST. FRANCIS HIGH,Minnesota,http://isd15.org,MN ,1-Regular school,2-No,2-No,31-Town: Fringe,1444,9th Grade,12th Grade,1444,12,48,36,16,1296,1,35,25.60,56.41
ST. GEORGES TECHNICAL HIGH SCHOOL,Delaware,www.stgeorgesde.com/,DE ,3-Vocational school,2-No,2-No,41-Rural: Fringe,1069,9th Grade,12th Grade,1069,2,16,96,326,611,2,16,14.07,76.00
ST. JAMES HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1562,9th Grade,12th Grade,1562,5,18,83,109,1268,4,75,16.71,93.50
ST. JAMES HIGH,Missouri,http://stjschools.org,MO ,1-Regular school,2-No,2-No,33-Town: Remote,532,9th Grade,12th Grade,532,4,1,14,20,468,="0",25,15.17,35.08
ST. JOHNS COMMUNITY CAMPUS,Florida,http://www.arcsj.org/communitycampus.html,FL ,2-Special education school,1-Yes,2-No,23-Suburb: Small,31,9th Grade,12th Grade,31,="0",="0",4,8,19,="0",="0",–,–
